GDP/breakdown at constant 2005 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Algeria,"Agriculture, hunting, forestry, fishing (ISIC A-B)",2108275410,2195079403,2172597794,1969014327,2135752933,2517940300,2213814078,2159483521,2389295533,2610526782,2942373072,2948257979,2706500793,2649664122,2898732597,3333542568,3290206428,3852831877,3590839309,4140237498,3883542888,4481608340,4687762727,4514315399,4108026999,4722587754,5851286073,5064288391,5641616997,5793940696,5527419424,6234929111,6160109961,7361331404,7758843300,7937296696,8580217728,8794723171,8460523691,10245694189,10747733205,11994470256,12858072115,13912434028,14260244879
Algeria,"Mining, Manufacturing, Utilities (ISIC C-E)",20300338941,14993292842,22370365393,23866074123,22705502739,21618946769,23877383770,25772078401,28005051659,28414514090,27764559121,27052331793,29689455827,30960476442,32156546573,32850974016,33623562390,33596012688,33342903011,34042514768,34856364448,34455035710,34592234791,34079694207,33408834919,34588655167,36277051190,37975502198,39417621408,41492435023,43121089683,42569463917,44273349325,47767650630,49479264832,52270175547,51115844189,50908293710,49684299535,46441960344,45722701641,44582443864,43479210167,42050772004,42868605771
Algeria,Manufacturing (ISIC D),1351354363,1330548020,1530147856,1757607032,1834837357,1952622419,2176907747,2258722520,2524267884,2864073371,3033975823,3370747333,3633665367,4018834083,4408660656,4501242647,4766816211,4757282245,4690680408,4460837273,4616966349,4584647565,4327907385,4271644561,4083692234,4026520673,3676213262,3536517170,3833584665,3894922045,3954502612,4120859878,4339889075,4411691946,4517794078,4601339883,4734247714,4861940627,5152293965,5632416296,5782717385,5987597395,6239722323,7235758026,8770540826
Algeria,Construction (ISIC F),1572663466,1491381982,1788192647,1648948137,1801184359,2035035186,2301198734,2687618903,3093360081,3116640938,3028296831,2920578035,3210029410,3330832854,3442518875,3516994015,3588240654,3585672129,3560645400,3659744193,3743171026,3697673148,3735550281,3675914065,3608990249,3766743106,3963933853,4175062078,4402040768,4465279347,4755522504,5017076242,5548886323,5876270616,6287609560,6897507687,7759696148,8403750928,9202107266,10039499027,11003290934,11575462063,12570951800,13463489378,14392470145
Algeria,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",2412508749,2593203662,2745172717,2732199749,2451427654,2639535691,3036137859,3399844287,3704709038,4344535352,4367289944,4696430140,4906955114,5253151682,5581014209,5821487409,5784986758,5670109731,5666995299,6039519172,6061962623,5897919791,6121794477,6000114902,6176562088,6356126909,6439076238,6577734661,6891263922,6950383366,7301374669,7719472240,8152252366,8672043089,9278617186,10068168236,10758323127,12187336016,13325155545,14731053216,15860200301,17109909837,18026591973,20796981650,23844747416
Algeria,"Transport, storage and communication (ISIC I)",1387133001,1451970662,1591469874,1932358791,2470707859,2769354058,2814543943,2960919876,3142661806,3685416843,3704724325,3983926726,4162503206,4456209328,4734296102,4938255071,4907467719,4809763158,4807111654,5123939833,5141346938,5002966646,5196263967,5084039748,5241683878,5405730442,5427178882,5608157900,5898623934,5698365451,6439152959,6683840772,7285386441,7496662648,7908979093,8802693731,9330855355,10077323783,10833123067,11266447990,11964967765,12706795767,13812286998,14917269958,15842140695
Algeria,Other Activities (ISIC J-P),3050839388,3345999697,3618503440,4117793770,4694207318,4779713850,4422675626,4718770141,5707837231,6693619227,6728673308,7235777547,7560148600,8093504373,8598649319,8969225204,8912802600,8735945305,8731430258,9304373597,9340094443,9088112264,9428014168,9248201042,9519893095,9773133214,9949215231,10137345844,10519759896,10897204171,11165411968,11451872144,11962709728,12377223003,12745848797,13079458038,13672734591,14411003295,15499849460,16694160472,17829794507,19201474527,19862042839,20572164858,21595215962
Algeria,Total Value Added,31344251940,26360413700,34899772160,37054351606,37065503147,36951823355,39144855955,42188392574,46742267559,49554979508,49170528393,49448339753,52961867710,55520309865,58204299399,60200894869,60910534779,60994886661,60462710361,63035312000,63807579684,63329484520,64445008209,63291556117,62768495030,65280306196,68541525432,70284985089,73461756160,76212878958,79099816404,80255288878,83879873924,89990208324,93742952634,99055299934,100867723806,103997069279,105953047093,107826486646,111218713019,114919939110,117788785087,121844208991,128130747287
Andorra,Final consumption expenditure,636508038,669385233,718746673,771477253,826484329,838583350,892171586,912176554,916840439,930229594,973746094,989546635,999972143,1014967008,1011737404,1035045473,1055457125,1121124464,1164253090,1232730227,1276889678,1319547606,1358516072,1352331541,1371159525,1394130070,1448031987,1565002920,1602394837,1664175823,1681536429,1863489628,1956067349,2067769268,2268640891,2435572839,2542740588,2558772040,2340529397,2211850610,2079122087,2004252989,1989788433,1940846694,1969216504
Andorra,Household consumption expenditure (including Non-profit institutions serving households),551117176,578463620,621559731,666862269,711449249,716435692,755864334,769448448,766692644,773694794,805682270,810160311,816168310,822327370,818733507,834005251,850544491,897683556,931734500,981040162,1008857695,1033323232,1054526562,1042362655,1063894280,1081024340,1122392157,1219315714,1248713331,1297939527,1313456161,1456040339,1523239342,1601833632,1750288872,1873289881,1951364134,1952942529,1758851370,1620252961,1530652120,1479195964,1489704282,1450356823,1476618551
